,pod_name,avg_activity,max_activity,min_activity
0,active-0,0.072,0.075,0.069
1,active-1,0.001,0.001,0.001
2,active-10,0.071,0.073,0.069
3,active-11,0.024,0.025,0.022
4,active-12,0.001,0.001,0.001
5,active-13,0.001,0.001,0.001
6,active-14,0.072,0.076,0.069
7,active-15,0.072,0.074,0.07
8,active-16,0.001,0.001,0.001
9,active-17,0.071,0.075,0.069
10,active-18,0.07,0.073,0.067
11,active-19,0.072,0.073,0.07
12,active-2,0.001,0.001,0.001
13,active-20,0.072,0.076,0.069
14,active-21,0.025,0.027,0.023
15,active-22,0.001,0.001,0.001
16,active-23,0.001,0.001,0.001
17,active-24,0.001,0.001,0.001
18,active-25,0.023,0.025,0.021
19,active-26,0.072,0.075,0.067
20,active-27,0.001,0.001,0.001
21,active-28,0.001,0.001,0.001
22,active-29,0.001,0.001,0.001
23,active-3,0.073,0.076,0.07
24,active-30,0.024,0.025,0.023
25,active-31,0.024,0.024,0.023
26,active-32,0.071,0.075,0.067
27,active-33,0.038,0.039,0.037
28,active-34,0.039,0.043,0.035
29,active-35,0.039,0.042,0.037
30,active-36,0.001,0.001,0.001
31,active-37,0.001,0.002,0.001
32,active-38,0.039,0.041,0.037
33,active-39,0.001,0.001,0.001
34,active-4,0.001,0.001,0.001
35,active-40,0.072,0.076,0.067
36,active-41,0.038,0.04,0.035
37,active-42,0.001,0.001,0.001
38,active-43,0.001,0.001,0.001
39,active-44,0.001,0.001,0.001
40,active-45,0.001,0.001,0.001
41,active-46,0.072,0.076,0.069
42,active-47,0.001,0.001,0.001
43,active-48,0.038,0.041,0.036
44,active-49,0.001,0.002,0.001
45,active-5,0.001,0.001,0.001
46,active-50,0.001,0.001,0.001
47,active-51,0.001,0.001,0.001
48,active-52,0.001,0.002,0.001
49,active-53,0.038,0.04,0.036
50,active-54,0.001,0.001,0.001
51,active-55,0.001,0.001,0.001
52,active-56,0.04,0.042,0.038
53,active-57,0.001,0.001,0.001
54,active-58,0.001,0.001,0.001
55,active-59,0.001,0.001,0.001
56,active-6,0.072,0.076,0.068
57,active-60,0.041,0.045,0.035
58,active-61,0.038,0.041,0.036
59,active-7,0.073,0.075,0.07
60,active-8,0.071,0.074,0.068
61,active-9,0.072,0.076,0.069
62,idle-0,0.0,0.0,0.0
63,idle-1,0.0,0.0,0.0
64,idle-10,0.0,0.0,0.0
65,idle-11,0.0,0.0,0.0
66,idle-12,0.0,0.0,0.0
67,idle-13,0.0,0.0,0.0
68,idle-14,0.0,0.0,0.0
69,idle-15,0.0,0.0,0.0
70,idle-16,0.0,0.0,0.0
71,idle-17,0.0,0.0,0.0
72,idle-18,0.0,0.0,0.0
73,idle-19,0.0,0.0,0.0
74,idle-2,0.0,0.0,0.0
75,idle-20,0.0,0.0,0.0
76,idle-21,0.0,0.0,0.0
77,idle-22,0.0,0.0,0.0
78,idle-23,0.0,0.0,0.0
79,idle-24,0.0,0.0,0.0
80,idle-25,0.0,0.0,0.0
81,idle-26,0.0,0.0,0.0
82,idle-27,0.0,0.0,0.0
83,idle-28,0.0,0.0,0.0
84,idle-29,0.0,0.0,0.0
85,idle-3,0.0,0.0,0.0
86,idle-30,0.0,0.0,0.0
87,idle-31,0.0,0.0,0.0
88,idle-32,0.0,0.0,0.0
89,idle-33,0.0,0.0,0.0
90,idle-34,0.0,0.0,0.0
91,idle-35,0.0,0.0,0.0
92,idle-36,0.0,0.0,0.0
93,idle-37,0.0,0.0,0.0
94,idle-4,0.0,0.0,0.0
95,idle-5,0.0,0.0,0.0
96,idle-6,0.0,0.0,0.0
97,idle-7,0.0,0.0,0.0
98,idle-8,0.0,0.0,0.0
99,idle-9,0.0,0.0,0.0
